OTU ID	CIMA.CLC.	CIMA.CLC.SUB.	CIMA.GLC.	CIMA.GLC.SUB.	CIMA.LAC.	CIMA.LAC.SUB.	CIMA.RMC.	CIMA.RMC.SUB.	CIMA.SMC.	CIMA.SMC.SUB.	GMT.CLC.	GMT.CLC.SUB.	GMT.GLC.	GMT.GLC.SUB.	GMT.LAC.	GMT.LAC.SUB.	GMT.RMC.	GMT.RMC.SUB.	GMT.SMC.	GMT.SMC.SUB.	KELSO.CLC.	KELSO.CLC.SUB.	KELSO.GLC.	KELSO.GLC.SUB.	KELSO.LAC.	KELSO.LAC.SUB.	KELSO.RMC.	KELSO.RMC.SUB.	KELSO.SMC.	KELSO.SMC.SUB.	NPMarch10.	NPMarch11.	NPMarch12.	NPMarch1SF.	NPMarch1Sub.	NPMarch2SF.	NPMarch2Sub.	NPMarch3SF.	NPMarch3Sub.	NPMarch4SF.	NPMarch4Sub.	NPMarch5SF.	NPMarch5Sub.	NPMarch6SF.	NPMarch6Sub.	NPMarch7SF.	NPMarch7Sub.	NPMarch8SF.	NPMarch8Sub.	NPMarch9SF.	NPMarch9Sub.	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Confidence Ranking	Growth Morphology	Trait	Notes	Citation/Source
OTU1	1270	3936	904	5100	4876	1192	6305	5782	38210	9405	2836	793	0	248	4298	390	9004	972	17486	1233	1124	630	2718	1902	19057	717	2322	3333	37678	0	10263	147	1991	0	5322	265	3835	80	471	4186	13601	239	7714	0	433	0	259	120	40189	44929	6230	"GS|100.0|AY293801|SH186594.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Phoma"	Phoma	13	Pathotroph-Saprotroph	Plant Pathogen-Wood Saprotroph	Possible	NULL	Soft Rot	NULL	"Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Costa IPMW, et al. 2012. Mycotaxon 119:26; Tedersoo L, et al. 2014. Science 346:1256688"
OTU2	10217	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	775	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49608	28272	1078	0	0	79	65170	11726	0	0	0	0	0	"US|0.0286|None;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales"	-	-	-	-	-	-	-	Unassigned	-
OTU7	0	0	0	0	0	0	0	0	0	0	0	0	99674	6741	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SS|0.9000|GU228965|SH028213.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium lacinulatum var erythrostratum"	Placidium	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
OTU4	0	0	0	145	29681	1885	0	1373	992	188	0	0	0	122	0	229	0	1505	0	0	0	51	1521	9829	0	64	24636	14600	12307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"GS|99.4|JX984777|SH202163.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes"	-	-	-	-	-	-	-	Unassigned	-
OTU2075	619	192	266	7266	19309	92	949	593	8561	2006	0	152	0	25	120	140	472	207	126	5964	467	481	1167	1290	1300	61	995	638	10639	91	262	0	549	73	671	90	163	0	0	0	266	0	182	0	0	0	0	0	2253	6140	2521	"GSL|100.0|GU237873|SH186594.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Didymellaceae,g:Macroventuria"	Didymellaceae	9	Pathotroph-Saprotroph	Animal Pathogen-Plant Pathogen-Undefined Saprotroph	Possible	Microfungus	NULL	NULL	"Tedersoo L, et al. 2014. Science 346:1256688 (doi:10.1126/science.1256688)"
OTU6	0	742	0	0	2134	4013	0	0	0	0	0	188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34640	1334	236	0	0	0	0	0	0	0	20721	2026	812	0	5293	0	4218	0	0	0	"GS|98.2|KJ001441|SH032806.07FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales,f:Entolomataceae,g:Entoloma,s:Entoloma halophilum"	Entoloma	13	Pathotroph-Saprotroph-Symbiotroph	Ectomycorrhizal-Fungal Parasite-Soil Saprotroph-Undefined Saprotroph	Possible	Agaricoid	NULL	NULL	"Rinaldi AC, et al. 2008. Fungal Diversity 33:1-45 (ECM/(not ECM); Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 (sensu stricto); http://mycorrhizas.info/ecmf.html (ECM/(not ECM)"
OTU5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1337	8495	1828	63279	299	0	0	0	0	0	0	0	"US|0.0058|GU234093|SH473863.07FU;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Agaricales"	-	-	-	-	-	-	-	Unassigned	-
OTU3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55293	15715	0	0	0	"US|0.9052|None;k:Fungi,p:Basidiomycota,c:Agaricomycetes,o:Sebacinales"	-	-	-	-	-	-	-	Unassigned	-
OTU11	0	0	57742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7494	281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"US|0.0077|GU228981|SH019695.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales"	-	-	-	-	-	-	-	Unassigned	-
OTU23	457	2139	70	753	2769	1716	1193	1040	980	2691	953	1421	216	2052	2148	230	972	1837	528	585	157	497	94	3825	2846	397	825	3328	5378	328	750	34	380	0	498	507	311	336	36	170	2295	0	240	0	0	0	0	349	2725	318	231	"GS|100.0|AY956758|SH216786.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Pleosporaceae,g:Alternaria,s:Alternaria chlamydosporigena"	Alternaria	13	Pathotroph-Saprotroph-Symbiotroph	Animal Pathogen-Endophyte-Plant Pathogen-Wood Saprotroph	Possible	Microfungus	Soft Rot	NULL	"Duncan CG, Eslyn WE. 1966. Mycologia 58:642-664; Seehann G, et al. 1975. List of Fungi in Soft-Rot Tissue Tests. Institute fur Holzbiologie und Holzschutz, Bundesforschungsanstalt fur Forst - und Holzwirtshaft, Hamburg - Lohbrugge, Germany; Tedersoo L, et al. 2014. Science 346:125688"
OTU8	110	1357	0	0	194	95	95	0	0	0	0	159	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"GS|99.4|KX710255|SH193471.07FU;k:Fungi,p:Ascomycota,c:Dothideomycetes,o:Pleosporales,f:Sporormiaceae,g:Sporormia,s:Sporormia grandispora"	Sporormia	13	Saprotroph	Dung Saprotroph	Highly Probable	NULL	NULL	NULL	"Bell A. 1983. Dung Fungi: An Illustrated Guide to Coprophilous Fungi in New Zealand. Victoria University Press, Wellington; Tedersoo L, et al. 2014. Science 346:1256688"
OTU10	6712	182	0	0	0	0	122	0	0	0	0	0	0	0	0	55	0	124	0	0	0	56	0	0	5055	131	350	2860	0	0	12644	81	8228	74	499	0	7490	3077	0	0	263	0	1484	18	286	250	166	296	0	0	82	US|1.0000|EU480152|SH198060.07FU;k:Fungi	-	-	-	-	-	-	-	Unassigned	-
OTU9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47749	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"SS|0.8700|EF469155|SH212567.07FU;k:Fungi,p:Ascomycota,c:Eurotiomycetes,o:Verrucariales,f:Verrucariaceae,g:Placidium,s:Placidium lacinulatum"	Placidium	13	Symbiotroph	Lichenized	Highly Probable	Thallus	NULL	NULL	Esslinger TL. 2014. North Dakota State University (http://www.ndsu.edu/pubweb/~esslinge/chcklst/chcklst7.htm)
